Capital,Longitude,Country,Latitude
Mexico,99¡10'W,Mexico,19¡20'N
Palikir,158¡09'E,Micronesia (Federated States of),06¡55'N
Chisinau,28¡50'E,"Moldova, Republic of",47¡02'N
Maputo,32¡32'E,Mozambique,25¡58'S
Yangon,96¡20'E,Myanmar,16¡45'N
Windhoek,17¡04'E,Namibia,22¡35'S
Kathmandu,85¡20'E,Nepal,27¡45'N
Amsterdam/The Hague (seat of Gvnt),04¡54'E,Netherlands,52¡23'N
Willemstad,69¡00'W,Netherlands Antilles,12¡05'N
Noumea,166¡30'E,New Caledonia,22¡17'S
Wellington,174¡46'E,New Zealand,41¡19'S
Managua,86¡20'W,Nicaragua,12¡06'N
Niamey,02¡06'E,Niger,13¡27'N
Abuja,07¡32'E,Nigeria,09¡05'N
Kingston,168¡43'E,Norfolk Island,45¡20'S
Saipan,145¡45'E,Northern Mariana Islands,15¡12'N
Oslo,10¡45'E,Norway,59¡55'N
Masqat,58¡36'E,Oman,23¡37'N
Islamabad,73¡10'E,Pakistan,33¡40'N
Koror,134¡28'E,Palau,07¡20'N
Panama,79¡25'W,Panama,09¡00'N
Port Moresby,147¡08'E,Papua New Guinea,09¡24'S
Asuncion,57¡30'W,Paraguay,25¡10'S
Lima,77¡00'W,Peru,12¡00'S
Manila,121¡03'E,Philippines,14¡40'N
Warsaw,21¡00'E,Poland,52¡13'N
Lisbon,09¡10'W,Portugal,38¡42'N
San Juan,66¡07'W,Puerto Rico,18¡28'N
Doha,51¡35'E,Qatar,25¡15'N
Seoul,126¡58'E,Republic of Korea,37¡31'N
Bucuresti,26¡10'E,Romania,44¡27'N
Moskva,37¡35'E,Russian Federation,55¡45'N
Kigali,30¡04'E,Rawanda,01¡59'S
Basseterre,62¡43'W,Saint Kitts and Nevis,17¡17'N
Castries,60¡58'W,Saint Lucia,14¡02'N
Saint-Pierre,56¡12'W,Saint Pierre and Miquelon,46¡46'N
Kingstown,61¡10'W,Saint vincent and the Grenadines,13¡10'N
Apia,171¡50'W,Samoa,13¡50'S
San Marino,12¡30'E,San Marino,43¡55'N
Sao Tome,06¡39'E,Sao Tome and Principe,00¡10'N
Riyadh,46¡42'E,Saudi Arabia,24¡41'N
Dakar,17¡29'W,Senegal,14¡34'N
Freetown,13¡17'W,Sierra Leone,08¡30'N
Bratislava,17¡07'E,Slovakia,48¡10'N
Ljubljana,14¡33'E,Slovenia,46¡04'N
Honiara,159¡57'E,Solomon Islands,09¡27'S
Mogadishu,45¡25'E,Somalia,02¡02'N
Pretoria (adm.) / Cap Town (Legislative) / Bloemfontein (Judicial),28¡12'E,South Africa,25¡44'S
Madrid,03¡45'W,Spain,40¡25'N
Khartoum,32¡35'E,Sudan,15¡31'N
Paramaribo,55¡10'W,Suriname,05¡50'N
Mbabane (Adm.),31¡06'E,Swaziland,26¡18'S
Stockholm,18¡03'E,Sweden,59¡20'N
Bern,07¡28'E,Switzerland,46¡57'N
Damascus,36¡18'E,Syrian Arab Republic,33¡30'N
Dushanbe,68¡48'E,Tajikistan,38¡33'N
Bangkok,100¡35'E,Thailand,13¡45'N
Skopje,21¡26'E,The Former Yugoslav Republic of Macedonia,42¡01'N
Lome,01¡20'E,Togo,06¡09'N
Nuku'alofa,174¡00'W,Tonga,21¡10'S
Tunis,10¡11'E,Tunisia,36¡50'N
Ankara,32¡54'E,Turkey,39¡57'N
Ashgabat,57¡50'E,Turkmenistan,38¡00'N
Funafuti,179¡13'E,Tuvalu,08¡31'S
Kampala,32¡30'E,Uganda,00¡20'N
Kiev (Rus),30¡28'E,Ukraine,50¡30'N
Abu Dhabi,54¡22'E,United Arab Emirates,24¡28'N
London,00¡05'W,United Kingdom of Great Britain and Northern Ireland,51¡36'N
Dodoma,35¡45'E,United Republic of Tanzania,06¡08'S
Washington DC,77¡02'W,United States of America,39¡91'N
Charlotte Amalie,64¡56'W,United States of Virgin Islands,18¡21'N
Montevideo,56¡11'W,Uruguay,34¡50'S
Tashkent,69¡10'E,Uzbekistan,41¡20'N
Port-Vila,168¡18'E,Vanuatu,17¡45'S
Caracas,66¡55'W,Venezuela,10¡30'N
Hanoi,105¡55'E,Viet Nam,21¡05'N
Belgrade,20¡37'E,Yugoslavia,44¡50'N
Lusaka,28¡16'E,Zambia,15¡28'S
Harare,31¡02'E,Zimbabwe,17¡43'S
