Capital,Country,Latitude,Longitude
Mexico,Mexico,19¡20'N,99¡10'W
Palikir,Micronesia (Federated States of),06¡55'N,158¡09'E
Chisinau,"Moldova, Republic of",47¡02'N,28¡50'E
Maputo,Mozambique,25¡58'S,32¡32'E
Yangon,Myanmar,16¡45'N,96¡20'E
Windhoek,Namibia,22¡35'S,17¡04'E
Kathmandu,Nepal,27¡45'N,85¡20'E
Amsterdam/The Hague (seat of Gvnt),Netherlands,52¡23'N,04¡54'E
Willemstad,Netherlands Antilles,12¡05'N,69¡00'W
Noumea,New Caledonia,22¡17'S,166¡30'E
Wellington,New Zealand,41¡19'S,174¡46'E
Managua,Nicaragua,12¡06'N,86¡20'W
Niamey,Niger,13¡27'N,02¡06'E
Abuja,Nigeria,09¡05'N,07¡32'E
Kingston,Norfolk Island,45¡20'S,168¡43'E
Saipan,Northern Mariana Islands,15¡12'N,145¡45'E
Oslo,Norway,59¡55'N,10¡45'E
Masqat,Oman,23¡37'N,58¡36'E
Islamabad,Pakistan,33¡40'N,73¡10'E
Koror,Palau,07¡20'N,134¡28'E
Panama,Panama,09¡00'N,79¡25'W
Port Moresby,Papua New Guinea,09¡24'S,147¡08'E
Asuncion,Paraguay,25¡10'S,57¡30'W
Lima,Peru,12¡00'S,77¡00'W
Manila,Philippines,14¡40'N,121¡03'E
Warsaw,Poland,52¡13'N,21¡00'E
Lisbon,Portugal,38¡42'N,09¡10'W
San Juan,Puerto Rico,18¡28'N,66¡07'W
Doha,Qatar,25¡15'N,51¡35'E
Seoul,Republic of Korea,37¡31'N,126¡58'E
Bucuresti,Romania,44¡27'N,26¡10'E
Moskva,Russian Federation,55¡45'N,37¡35'E
Kigali,Rawanda,01¡59'S,30¡04'E
Basseterre,Saint Kitts and Nevis,17¡17'N,62¡43'W
Castries,Saint Lucia,14¡02'N,60¡58'W
Saint-Pierre,Saint Pierre and Miquelon,46¡46'N,56¡12'W
Kingstown,Saint vincent and the Grenadines,13¡10'N,61¡10'W
Apia,Samoa,13¡50'S,171¡50'W
San Marino,San Marino,43¡55'N,12¡30'E
Sao Tome,Sao Tome and Principe,00¡10'N,06¡39'E
Riyadh,Saudi Arabia,24¡41'N,46¡42'E
Dakar,Senegal,14¡34'N,17¡29'W
Freetown,Sierra Leone,08¡30'N,13¡17'W
Bratislava,Slovakia,48¡10'N,17¡07'E
Ljubljana,Slovenia,46¡04'N,14¡33'E
Honiara,Solomon Islands,09¡27'S,159¡57'E
Mogadishu,Somalia,02¡02'N,45¡25'E
Pretoria (adm.) / Cap Town (Legislative) / Bloemfontein (Judicial),South Africa,25¡44'S,28¡12'E
Madrid,Spain,40¡25'N,03¡45'W
Khartoum,Sudan,15¡31'N,32¡35'E
Paramaribo,Suriname,05¡50'N,55¡10'W
Mbabane (Adm.),Swaziland,26¡18'S,31¡06'E
Stockholm,Sweden,59¡20'N,18¡03'E
Bern,Switzerland,46¡57'N,07¡28'E
Damascus,Syrian Arab Republic,33¡30'N,36¡18'E
Dushanbe,Tajikistan,38¡33'N,68¡48'E
Bangkok,Thailand,13¡45'N,100¡35'E
Skopje,The Former Yugoslav Republic of Macedonia,42¡01'N,21¡26'E
Lome,Togo,06¡09'N,01¡20'E
Nuku'alofa,Tonga,21¡10'S,174¡00'W
Tunis,Tunisia,36¡50'N,10¡11'E
Ankara,Turkey,39¡57'N,32¡54'E
Ashgabat,Turkmenistan,38¡00'N,57¡50'E
Funafuti,Tuvalu,08¡31'S,179¡13'E
Kampala,Uganda,00¡20'N,32¡30'E
Kiev (Rus),Ukraine,50¡30'N,30¡28'E
Abu Dhabi,United Arab Emirates,24¡28'N,54¡22'E
London,United Kingdom of Great Britain and Northern Ireland,51¡36'N,00¡05'W
Dodoma,United Republic of Tanzania,06¡08'S,35¡45'E
Washington DC,United States of America,39¡91'N,77¡02'W
Charlotte Amalie,United States of Virgin Islands,18¡21'N,64¡56'W
Montevideo,Uruguay,34¡50'S,56¡11'W
Tashkent,Uzbekistan,41¡20'N,69¡10'E
Port-Vila,Vanuatu,17¡45'S,168¡18'E
Caracas,Venezuela,10¡30'N,66¡55'W
Hanoi,Viet Nam,21¡05'N,105¡55'E
Belgrade,Yugoslavia,44¡50'N,20¡37'E
Lusaka,Zambia,15¡28'S,28¡16'E
Harare,Zimbabwe,17¡43'S,31¡02'E
